name,review_count,categories,latitude,longitude,rating,price,neighbourhood,city,address
Luke and Mike's Frontporch,55,American (New),40.4902106,-79.9035091,3.5,$$,Shadyside,Pittsburgh,"235 Commercial Ave,Pittsburgh, PA 15215"
Wings Over Pittsburgh,94,"Chicken Wings,Fast Food,Sandwiches",40.4277685,-79.9690207,3.0,$$,Shadyside,Pittsburgh,"2525 E Carson St,Pittsburgh, PA 15203"
BullDawg's,12,"Food Trucks,Hot Dogs,Burgers",40.46159,-79.94134,3.5,$,Shadyside,Pittsburgh,"317 S Evaline,Pittsburgh, PA 15224"
Wallace's Whiskey Room + Kitchen,20,"Whiskey Bars,American (New),Seafood",40.46226,-79.92482,3.0,$,Shadyside,Pittsburgh,"123 N Highland Ave,Pittsburgh, PA 15206"
K & T's Fish and Chicken,27,"Moroccan,Soul Food,Fish & Chips",40.45192,-79.9525,3.5,$,Shadyside,Pittsburgh,"4521 Centre Ave,Pittsburgh, PA 15213"
Milky Way,32,"Pizza,Kosher",40.43311,-79.92317,3.5,$,Shadyside,Pittsburgh,"2120 Murray Ave,Pittsburgh, PA 15217"
Chief's Cafe,11,Dive Bars,40.45202,-79.95239,4.5,$,Shadyside,Pittsburgh,"307 N Craig St,Pittsburgh, PA 15213"
GM Dog N' Burger Shoope,12,"Hot Dogs,Burgers,Breakfast & Brunch",40.4600719,-79.9463731,3.5,$,Shadyside,Pittsburgh,"4820 Liberty Ave,Pittsburgh, PA 15224"
Chicken Grille,28,"American (Traditional),Asian Fusion",40.44187,-79.9571,3.5,$,Shadyside,Pittsburgh,"121 Oakland Ave,Pittsburgh, PA 15213"
Fireside Caribbean Restaurant,42,Caribbean,40.4426,-79.88222,3.5,$$,Shadyside,Pittsburgh,"796 Penn Ave,Pittsburgh, PA 15221"
Zoup!,27,"Sandwiches,Soup,Salad",40.4877522,-79.8810391,4.5,$$,Shadyside,Pittsburgh,"1137 Freeport Rd,Pittsburgh, PA 15238"
Salud Juicery,25,"Juice Bars & Smoothies,Coffee & Tea",40.4390806577226,-79.9618649482727,4.0,$$,Shadyside,Pittsburgh,"3400 Fifth Ave,Pittsburgh, PA 15213"
Zen Asian Diner,99,"Chinese,Sushi Bars",40.47836,-79.95544,3.0,$$,Shadyside,Pittsburgh,"5100 Butler St,Pittsburgh, PA 15201"
Jimmy John's,43,"Sandwiches,Delis,Fast Food",40.439233,-79.959706,3.5,$,Shadyside,Pittsburgh,"3444 Forbes Ave,Campus,Pittsburgh, PA 15213"
Belvedere's,65,"Dive Bars,Dance Clubs",40.469063833681,-79.961669590686,3.5,$,Shadyside,Pittsburgh,"4016 Butler St,Pittsburgh, PA 15201"
Thirsty Scholar Bar & Grille,25,"Bars,American (Traditional)",40.4414823439284,-79.9586161226034,4.0,$$,Shadyside,Pittsburgh,"3610 Fifth Ave,Pittsburgh, PA 15213"
Rumi Grill House,10,"Mediterranean,Turkish",40.45193,-79.95227,4.0,$,Shadyside,Pittsburgh,"301 N Craig St,Pittsburgh, PA 15213"
Rialto Pizza,68,"Pizza,Ice Cream & Frozen Yogurt,Desserts",40.4264678955078,-79.9388046264648,3.0,$,Shadyside,Pittsburgh,"623 Greenfield Ave,Pittsburgh, PA 15207"
TW Kitchen,9,"Taiwanese,Noodles",40.44964,-79.95045,4.0,$,Shadyside,Pittsburgh,"192 N Craig St,Pittsburgh, PA 15213"
Hug Thai,27,Thai,40.4660996481591,-79.9536006256889,3.5,$$,Shadyside,Pittsburgh,"472 44th St,Pittsburgh, PA 15201"
Bakery Square,17,Bakeries,40.45703125,-79.9157257080078,3.0,$$$,Shadyside,Pittsburgh,"6425 Penn Ave,Pittsburgh, PA 15206"
Evergreen Cafe,9,Bars,40.4480731,-79.8984803,5.0,$,Shadyside,Pittsburgh,"7330 Penn Ave,Pittsburgh, PA 15208"
Froggy's Bar,9,Bars,40.46233,-79.95086,4.0,$,Shadyside,Pittsburgh,"4602 Liberty Ave,Pittsburgh, PA 15224"
61B Cafe,45,"Coffee & Tea,Bakeries",40.4323539733887,-79.8940734863281,3.5,$,Shadyside,Pittsburgh,"1108 S Braddock Ave,Pittsburgh, PA 15218"
Crazy Mocha Coffee,16,Coffee & Tea,40.4413826018572,-79.9566681683064,4.5,$,Shadyside,Pittsburgh,"207 Oakland Ave,Pittsburgh, PA 15213"
Eliza A Hot Metal Bistro,45,"American (New),Breakfast & Brunch",40.431079,-79.959718,3.5,$$,Shadyside,Pittsburgh,"331 Technology Dr,Pittsburgh, PA 15219"
Franks Pizza & Chicken,32,"Chicken Wings,Pizza,Italian",40.4867289,-79.973769,4.0,$$,Shadyside,Millvale,"641 North Ave,Millvale, PA 15209"
Uncle Sam's Submarines,61,Sandwiches,40.4890230106417,-79.8926940961875,3.5,$,Shadyside,Pittsburgh,"936 Freeport Rd,Pittsburgh, PA 15238"
Panera Bread,47,"Sandwiches,Salad,Soup",40.456611,-79.914994,2.0,$,Shadyside,Pittsburgh,"136 Bakery Square Blvd,Pittsburgh, PA 15206"
Oakmont BBQ Company,12,"Food Trucks,Barbeque",40.503454,-79.843041,5.0,$$,Shadyside,Verona,"549 Allegheny River Blvd,Verona, PA 15147"
Trundle Manor,14,"Museums,Art Galleries",40.4227496,-79.8806393,4.5,$,Shadyside,Swissvale,"7724 Juniata St,Swissvale, PA 15218"
Pgh Crepes,28,"Food Trucks,Creperies",40.443960770855,-79.9542873063074,3.5,$,Shadyside,Pittsburgh,"Bigelow Blvd & Forbes Ave,Pittsburgh, PA 15213"
Rodef Shalom Congregation,3,"Synagogues,Venues & Event Spaces,Landmarks & Historical Buildings",40.44798,-79.94336,4.5,$,Shadyside,Pittsburgh,"4905 5th Ave,Pittsburgh, PA 15213"
Tiki Lounge,88,Tiki Bars,40.42882,-79.9773699,3.0,$$,Shadyside,Pittsburgh,"2003 E Carson St,Pittsburgh, PA 15203"
